Provider Name,City,State/Territory,County,Region Name,Address 1,Address 2,Zip,Phone,Ext.,Fax,Current Provider Urbanicity
EASTOVER FAMILY PRACTICE,Eastover,SC,RICHLAND,Midlands ,3041 Old Eastover Rd,,29044,803-353-8741,,,Medium metro
EASTSIDE PEDIATRICS  PA,Taylors,SC,GREENVILLE,Upstate,4501 Old Spartanburg Rd Ste 9,STE 9,29687,864-292-8868,,864-268-9564,Medium metro
Eau Claire Cooperative Health Care ,Columbia,SC,RICHLAND,Midlands ,1228 Harden ST,,29204,803-774-0540,,803-774-0542,Medium metro
EDGEFIELD COUNTY HEALTH DEPARTMENT,Edgefield,SC,EDGEFIELD,Midlands ,21 STAR RD,,29824,8036374035,,803-637-4039,Medium metro
Edgefield Medical Center,Edgefield,SC,EDGEFIELD,Midlands ,155 RIDGE MEDICAL PLZ,STE B,29824,803-637-3630,,803-637-5348,Medium metro
ELLOREE FAMILY PRACTICE,Santee,SC,ORANGEBURG,LowCountry,8799 Old Number 6 HWY,,29142,803-854-6358,,(803)854-9054,Micropolitan
ELM PEDIATRICS ,Lake City,SC,FLORENCE,Pee Dee ,800 W Main St,,29560,843-977-7337,,843-972-1700,Small metro
Ember Modern Medicine ,Greenville,SC,GREENVILLE,Upstate,1068 N Church ST,Suite101,29601,864-702-2365,,864-474-4109,Medium metro
EMMANUEL FAMILY CLINIC,Newberry,SC,NEWBERRY,Midlands ,2531 EVANS ST,STE A,29108,803-276-7978,,(803)675-0750,Micropolitan
EMMANUEL FAMILY CLINIC-SALUDA,Saluda,SC,SALUDA,Midlands ,501 W BUTLER AVE,,29138,864-445-2250,,(877)870-2854,Medium metro
EPWORTH CHILDRENS HOME,Columbia,SC,RICHLAND,Midlands ,2900 MILLWOOD AVE,BLDG 12,29205,803-212-4793,,(803)212-4793,Medium metro
EVANS PEDIATRICS LLC,Simpsonville,SC,GREENVILLE,Upstate,104 W GEORGIA RD,,29681,864-963-0400,,864-963-6116,Medium metro
EXPRESS PEDIATRIC CARE,Greenville,SC,GREENVILLE,Upstate,10 Enterprise Blvd,Unit 105,29615,864-551-2422,,843-551-2424,Medium metro
FAIRFIELD COUNTY HEALTH DEPARTMENT,Winnsboro,SC,FAIRFIELD,Midlands ,1136 KINCAID BRIDGE RD,,29180,803-635-6481,,803-635-1410,Medium metro
Fairfield Medical Associates,Winnsboro,SC,FAIRFIELD,Midlands ,880 W Moultrie ST STE 200,,29180,803-635-6461,,803635-4200,Medium metro
FAMILIES FIRST FAMILY MEDICINE,MAULDIN,SC,GREENVILLE,Upstate,11 JENKINS ST,,29662,8642881941,,,Medium metro
FAMILY FIRST MEDICAL CARE,Charleston,SC,CHARLESTON,LowCountry,1483 TOBIAS GADSON BLVD,STE 206,29407,843-766-1936,,,Medium metro
Family Health Center of Holly Hill,Holly Hill,SC,ORANGEBURG,LowCountry,922 HOLLY ST,,29059,803-496-7174,,(803)496-7928,Micropolitan
FAMILY HEALTH CENTERS  INC-PED DIVI,Orangeburg,SC,ORANGEBURG,LowCountry,3310 Magnolia ST,,29115,803-531-6900,,(803)531-6907,Micropolitan
Family Healthcare ,Ninety Six,SC,GREENWOOD,Upstate,103 LITTLE MOUNTAIN RD,,29666,864-543-3515,,(864)543-2973,Micropolitan
FAMILY HEALTHCARE - WARE SHOALS,Ware Shoals,SC,GREENWOOD,Upstate,167 S GREENWOOD AVE EXT,,29692,8644563447,,864-725-4979,Micropolitan
Family Healthcare Newberry,Newberry,SC,NEWBERRY,Midlands ,2605 KINARD ST,Ste 200,29108,803-405-1900,,(803)405-1919,Micropolitan
Family Healthcare of Edgefield,Edgefield,SC,EDGEFIELD,Midlands ,"155 RIDGE MEDICAL PLZ , STE A",,29824,803-637-3146,,,Medium metro
FAMILY HEALTHCARE WEST GREENWOOD,Greenwood,SC,GREENWOOD,Upstate,1228 Highway 72 W,,29649,864-943-0549,,(864)227-2067,Micropolitan
Family Healthcare- North Saluda,Saluda,SC,SALUDA,Midlands ,595 Newberry Hwy,,29138,864-445-2500,,(864)445-2795,Medium metro
FAMILY MEDICINE ASSOCIATES,Abbeville,SC,ABBEVILLE,Upstate,901 W GREENWOOD ST,STE 1,29620,864-366-9681,,864-366-9686,Micropolitan
Family Medicine Mountain View- B,Greer,SC,GREENVILLE,Upstate,405 Memorial Drive Ext,,29651,864-879-9066,,864-241-9214,Medium metro
Family Medicine Pine Street ,Spartanburg,SC,SPARTANBURG,Upstate,333 S Pine St,,29302,864-577-9970,,864-5221918,Medium metro
FAMILY PRACTICE ASSOC OF EASLEY,Easley,SC,PICKENS,Upstate,700 BRUSHY CREEK RD,,29642,864-306-9661,,864-306-9661,Medium metro
FAMILY RESOURCE CENTER MED CLINIC,FORT MILL,SC,YORK,Midlands ,120 E Elliott ST,,29715,803-322-6636,,803-548-1350,Large fringe metro
FAMILY RESOURCE CENTER MED CLINIC,ROCK HILL,SC,YORK,Midlands ,410 E BLACK ST,,29730,(803)909-6363,,(803)909-6364,Large fringe metro
FETTER FAMILY HLTH CTR - HOLLYWOOD,Hollywood,SC,CHARLESTON,LowCountry,5225 HIGHWAY 165,,29449,843-889-2272,,,Medium metro
Fetter Health Care Cross,Cross,SC,BERKELEY,LowCountry,1681 Old Highway 6,,29436,843-753-2334,,,Medium metro
Fetter Health Care Network Walterboro,Walterboro,SC,COLLETON,LowCountry,"302 Medical Park DR , STE 111",,29488,843-549-6853,,(845)549-7961,Non-Core
FIVE PTS PEDS AND WALK IN,Columbia,SC,RICHLAND,Midlands ,1228 HARDEN ST,Ste 1,29204,803-748-7002,,,Medium metro
FLORENCE COUNTY HEALTH DEPARTMENT,Florence,SC,FLORENCE,Pee Dee ,145 E CHEVES St,,29506,843-661-4835,,843-661-4844,Small metro
FLOWERTOWN UNIVERSITY FAMILY MED,SUMMERVILLE,SC,DORCHESTER,LowCountry,602 N MAIN ST,,29483-0000,843-876-2121,,,Medium metro
FOOTHILLS COMMUN HLTHCRE - ANDERSON,Anderson,SC,ANDERSON,Upstate,1100 W Franklin St,,29624,864-224-0822,,864-261-8130,Medium metro
Foothills community Health Care,Easley,SC,PICKENS,Upstate,403 Hillcrest Dr Ste E,,29640,864-343-1220,,864-307-8870,Medium metro
FOOTHILLS COMMUNITY HEALTH CARE,Clemson,SC,PICKENS,Upstate,110 Liberty DR,,29631,864-722-0283,,8643156762,Medium metro
FOOTHILLS FAMILY MEDICINE,SPARTANBURG,SC,SPARTANBURG,Upstate,2995 Reidville Rd,,29301-0000,8642538140,,8645870051,Medium metro
FOOTHILLS FAMILY MEDICINE,PACOLET,SC,SPARTANBURG,Upstate,391 GLENN SPRINGS RD.,,29372-0000,864-474-3013,,864-474-1501,Medium metro
FOWLER RURAL MEDICAL,MARION,SC,MARION,Pee Dee ,2236 HWY 76 E,Ste B,29571-0000,8434234044,,,Non-Core
Francis Marion University Student Health Services,Florence,SC,FLORENCE,Pee Dee ,121 S Evander DR,PO Box 100547,29506,843-661-1843,,843-661-1818,Small metro
FRANKLIN C FETTER JOHNS ISLAND,Johns Island,SC,CHARLESTON,LowCountry,3627 MAYBANK HWY,,29455,843-559-3676,,,Medium metro
FRANKLIN C FETTER SUMMERVILLE,Summerville,SC,BERKELEY,LowCountry,130 Varnfield DR #100,,29483,843-821-3444,,(843)851-8001,Medium metro
FRANKLIN C. FETTER ENTERPRISE PEDS,Charleston,SC,CHARLESTON,LowCountry,2047 COMSTOCK AVE,,29405,843-747-8893,,843-747-8895,Medium metro
FRANKLIN C. FETTER FAMILY COMMUNITY,Charleston,SC,CHARLESTON,LowCountry,51 NASSAU ST,,29403,843-722-4112,,843-577-9550,Medium metro
GENESIS HEALTH CARE  INC,Olanta,SC,FLORENCE,Pee Dee ,211 S JONES RD,,29114,843-396-9730,,843-396-9735,Small metro
Genesis Healthcare dba Walterboro Family Care,Walterboro,SC,COLLETON,LowCountry,457 Spruce ST,,29488,(843)781-7428,,(843)781-7429,Non-Core
GEORGETOWN COUNTY HEALTH DEPT,Georgetown,SC,GEORGETOWN,Pee Dee ,531 LAFAYETTE CIR,,29440,843-546-5593,,843-546-0456,Micropolitan
GEORGETOWN INTERNIST  PEDIATRICIAN,Pawleys Island,SC,GEORGETOWN,Pee Dee ,64 BUSINESS CTR DR,,29585,843-314-1314,,843-314-1308,Micropolitan
GEORGETOWN MEMORIAL HOSPITAL,Georgetown,SC,GEORGETOWN,Pee Dee ,606 Black River Rd.,,29440,843-520-7498,,843-520-7810,Micropolitan
GHS Family Medicine Walhalla,Walhalla,SC,OCONEE,Upstate,103 Whitetail DR,,29691,(864)638-3444,,,Micropolitan
GHS Medical Center Boiling Spring,Boiling Springs,SC,SPARTANBURG,Upstate,2400 Boiling Springs RD,,29613,864.599.0731,,,Medium metro
GHS Patewood Memorial Hospital,Greenville,SC,GREENVILLE,Upstate,175 PATEWOOD DR,,29615,864-797-0080,,864-797-0085,Medium metro
GHS Spartanburg Pediatric Health Center,Spartanburg,SC,SPARTANBURG,Upstate,201 E Broad ST,Ste 210,29306,864-707-2135,,864-707-2136,Medium metro
GOLDEN CORNER FAMILY PRACTICE,West Union,SC,OCONEE,Upstate,1205 N Highway 11,,29696,864-638-5402,,,Micropolitan
GOOSE CREEK HEALTH DEPARTMENT,Goose Creek,SC,BERKELEY,LowCountry,106 WESTVIEW BLVD,,29445,843-572-3313,,,Medium metro
GRAND STRAND PED  ADOL MEDICINE,Little River,SC,HORRY,Pee Dee ,4326 BALDWIN AVE,,29566,843-249-7400,,843-249-7440,Medium metro
GRAND STRAND PED  ADOL MEDICINE,Surfside Beach,SC,HORRY,Pee Dee ,1120 GLENNS BAY RD,STE 120,29575,843-650-7000,,(843)650-0773,Medium metro
Grand Strand Pediatric Adolescent Medicine,Myrtle Beach,SC,HORRY,Pee Dee ,5015 Carolina Forest Blvd,,29579,(843)945-1740,,(843)236-4101,Medium metro
GRAND STRAND PEDIATRICS  ADOLESCEN,Myrtle Beach,SC,HORRY,Pee Dee ,8120 ROURK ST,,29572,843-449-1438,,(843)286-1349,Medium metro
GRAND STRAND PRIMARY CARE,Myrtle Beach,SC,HORRY,Pee Dee ,920 Doug White Dr Ste 250,UNIT 250,29572,843-848-4640,,843-839-2382,Medium metro
GREATER GREENVILLE FAMILY HEALTH,Greenville,SC,GREENVILLE,Upstate,2086 B WOODRUFF RD,,29607,864-329-9526,,864-329-9527,Medium metro
GREENVILLE COUNTY HEALTH DEPARTMENT,Greenville,SC,GREENVILLE,Upstate,352 Halton Rd,,29607,864-372-3270,,864-282-4425,Medium metro
GREENVILLE MEDICAL ASSOCIATES  PA,Greenville,SC,GREENVILLE,Upstate,545 W BUTLER RD,,29607,864-299-1990,,864-299-9123,Medium metro
Greenville Medical Associates PA,Greenville,SC,GREENVILLE,Upstate,2601 N Pleasantburg DR,,29609,864-299-1990,,864-299-9123,Medium metro
Greenville Pediatric Health Center,Greenville,SC,GREENVILLE,Upstate,1350 Cleveland ST,,29605,864-454-8267,,8646279131,Medium metro
Greenville-Pediatrics PA,Greenville,SC,GREENVILLE,Upstate,37 Brendan Way,,29615,864-458-7792,,864-458-7943,Medium metro
GREENWOOD COUNTY HEALTH DEPARTMENT,Greenwood,SC,GREENWOOD,Upstate,1736 S MAIN ST,,29646,864-942-3600,,864-942-3690,Micropolitan
GREER MEMORIAL HOSPITAL,Greer,SC,GREENVILLE,Upstate,830 S BUNCOMBE RD,,29650,864-797-8001,,864-797-8006,Medium metro
GRIFFIN FAMILY PRACTICE,LAMAR,SC,DARLINGTON,Pee Dee ,105 N RAILROAD AVE,,29069-0000,8433265777,,,Small metro
HAMPTON COUNTY HEALTH DEPARTMENT,Varnville,SC,HAMPTON,LowCountry,531 CAROLINA AVE W,,29944,803-943-3878,,803-943-0737,Non-Core
HARDEEVILLE MEDICAL CTR - BJH,HARDEEVILLE,SC,JASPER,LowCountry,552 STINEY POINT RD,,29927,843-784-2181,,,Small metro
HARRISON PEEPLES HEALTH CARE CENTER,Varnville,SC,HAMPTON,LowCountry,1000 Pine ST,,29944,803-943-5228,,(803)943-4591,Non-Core
HARTH PLACE FAMILY MEDICINE,SUMMERVILLE,SC,DORCHESTER,LowCountry,102 HARTH PL,,29485,8438326425,,,Medium metro
HARTSVILLE  HEALTH  CENTER,Hartsville,SC,DARLINGTON,Pee Dee ,130 E CAMDEN Ave,,29550,843-332-7303,,843-383-6082,Small metro
Hartsville Medical Associates,Hartsville,SC,DARLINGTON,Pee Dee ,206 Swift Creek Rd,,29550,843-917-4117,,843-917-4590,Small metro
"Health Care Partners of SC, Inc. Marion ",Marion,SC,MARION,Pee Dee ,145 Palmetto Pointe RD,,29571,(843)423-2400,5520,(843)423-3432,Non-Core
Health Care Partners of South Carol,Conway,SC,HORRY,Pee Dee ,1708 OAK ST,,29526,843-488-6351,,(843)438-8752,Medium metro
HEALTH CARE PRTNRS SC -JOHNSONVILLE,Johnsonville,SC,FLORENCE,Pee Dee ,123 E Broadway St,,29555,8773220181,,,No Urbanicity Data
Healthcare Partners of SC- Singleton Ridge,Conway,SC,HORRY,Pee Dee ,243 Singleton Ridge Rd,,29526,843-248-4700,5345,877-322-0181,No Urbanicity Data
HERITAGE PEDS  INTERNAL MEDICINE,Simpsonville,SC,GREENVILLE,Upstate,727 SE MAIN ST,Ste 320,29681,864-454-6440,,864-454-6445,Medium metro
HILLCREST FAMILY PRACTICE,Simpsonville,SC,GREENVILLE,Upstate,717 S E MAIN ST,,29681,864-522-5400,,864-522-5405,Medium metro
HOLLY HILL HEALTH CENTER,Holly Hill,SC,ORANGEBURG,LowCountry,8423 A Old State RD,,29059,803-496-3324,,(803)496-9653,Micropolitan
HOMETOWN PEDIATRICS,Clinton,SC,LAURENS,Upstate,500 PLAZA CIR,Ste J,29325,864-547-8300,,,Medium metro
HOPE HEALTH INC,Lake City,SC,FLORENCE,Pee Dee ,241 KELLEY ST,,29560,843-394-1051,,843-394-0277,Small metro
Hope Health Timmonsville ,Timmonsville,SC,FLORENCE,Pee Dee ,210 E MARKET ST,,29161,843-346-3730,,843-346-7689,Small metro
HOPE HEALTH-FLORENCE-IRBY,Florence,SC,FLORENCE,Pee Dee ,360 N IRBY STREET,,29501,843-432-3672,,843-656-8862,Small metro
HOPEHEALTH - PINE NEEDLES,Florence,SC,FLORENCE,Pee Dee ,3380 Pine Needles Rd,,29501,8434322952,,,No Urbanicity Data
HOPEHEALTH -KINGSTREE,Kingstree,SC,WILLIAMSBURG,Pee Dee ,520 Thurgood Marshall Hwy,STE B,29556,843-355-5628,,(843)355-5616,Non-Core
HopeHealth Greeleyville,Greeleyville,SC,WILLIAMSBURG,Pee Dee ,86 N Main ST,,29056,8434262335,,8434262346,Non-Core
HOPEHEALTH INC,Lake City,SC,FLORENCE,Pee Dee ,652 N MATTHEWS RD,,29560,(843)432-3677,,(843)374-2713,Small metro
HOPEHEALTH INC.,FLORENCE,SC,FLORENCE,Pee Dee ,600 E PALMETTO ST,,29506,8436679414,,,Small metro
HOPEHEALTH Pediatrics Florence,Florence,SC,FLORENCE,Pee Dee ,1920 Second Loop Road,,29501,843-432-3700,,843-407-9723,Small metro
HopeHealth-Hemingway,Hemingway,SC,WILLIAMSBURG,Pee Dee ,2266 Hemingway Hwy,,29554,8438965896,,8439334034,Non-Core
HopeHealth-Manning Pediatrics,Manning,SC,CLARENDON,Pee Dee ,11 W Hospital St,,29102,803-433-4124,,803-433-1207,Non-Core
HOPKINS PEDIATRICS  FAMILY PRACTICE,Hopkins,SC,RICHLAND,Midlands ,9023 GARNERS FERRY RD,,29061,803-978-1848,,803-978-1852,Medium metro
HORRY COUNTY HEALTH DEPARTMENT C,Conway,SC,HORRY,Pee Dee ,1931 INDUSTRIAL PARK RD,,29526,843-915-8800,,(843)365-0110,Medium metro
ICNA Relief USA Shifa Clinic,Charleston,SC,BERKELEY,LowCountry,668 Marina Drive,Suite A5,29492,(843)352-4580,,,Medium metro
INCLUSIVE HEALTHCARE CENTER,Myrtle Beach,SC,HORRY,Pee Dee ,4882 SOCASTEE BLVD,,29588,843-668-2744,,843-668-2743,Medium metro
INDIAN LAND PEDIATRICS  LLC,Indian Land,SC,LANCASTER,Midlands ,7580 CHARLOTTE HWY,Ste 1000,29707,803-396-1090,,803-396-1091,Large fringe metro
INLET PEDIATRICS  PA,Murrells Inlet,SC,GEORGETOWN,Pee Dee ,PO Box 4920,,29576,843-652-3300,,843-652-3200,Micropolitan
JAMES ISLAND PEDIATRICS,Charleston,SC,CHARLESTON,LowCountry,776 DANIEL ELLIS DR,STE 3C,29412,843-795-0900,,,Medium metro
Jamison Pediatrics and Express Care,Ridgeland,SC,JASPER,LowCountry,11382 N Jacob Smart Blvd,,29936,(843)645-9797,,(843)645-9796,Small metro
JAMISON PEDIATRICS-HOLLY HILL,Holly Hill,SC,ORANGEBURG,LowCountry,932 HOLLY St,UNIT 803,29059,803-496-9000,1,,Micropolitan
JAMISON PEDIATRICS-VILLAGE PARK ,Orangeburg,SC,ORANGEBURG,LowCountry,1729 VILLAGE PARK DR,,29118,803-997-2501,,803-997-2509,Micropolitan
Jantana Vuthiganon MD,Ridgeland,SC,JASPER,LowCountry,1506 Grays HWY,Ste C ,29936,843-726-4527,,(843)726-8891,Small metro
Jasper County Health Dept,Ridgeland,SC,JASPER,LowCountry,651 Grays HWY,,29936,843-726-7788,,(843)726-5320,Small metro
JOSEPH D. EWENS MD FAMILY MEDICINE,SUMMERVILLE,SC,DORCHESTER,LowCountry,90 SPRINGVIEW LN,,29485,843-832-9113,,,Medium metro
KERSHAW COUNTY HEALTH DEPARTMENT,Camden,SC,KERSHAW,Midlands ,1116 CHURCH ST,,29020,803-425-6012,,,Medium metro
KERSHAW HLTH PRIMARY CARE AT ELGIN,Elgin,SC,KERSHAW,Midlands ,40 PINNACLE PKWY,BLDG 100  Ste 208,29045,803-424-5165,,803-408-0356,Medium metro
"Kids Choice Pediatrics, PA",Greenville,SC,GREENVILLE,Upstate,58 Bear DR,,29605,(864)243-8916,,(864)243-8938,Medium metro
KIDSCARE PEDIATRICS,Seneca,SC,OCONEE,Upstate,109 OMNI DR STE A,,29672,864-885-9448,,864-8851980,Micropolitan
LAKE CITY FAMILY MEDICINE,Lake City,SC,FLORENCE,Pee Dee ,901 N MATTHEWS RD,,29560,843-374-8380,,843-374-5247,Small metro
LAKE CITY HEALTH DEPT,Lake City,SC,FLORENCE,Pee Dee ,137 N ACLINE ST,,29560,843-394-8822,,843-394-8856,Small metro
Lake Monticello Family Practice,Jenkinsville,SC,FAIRFIELD,Midlands ,9017 Hwy 215 S,,29065,803-298-2068,,803-298-2069,Medium metro
LAKELANDS FAMILY PRACTICE,Waterloo,SC,LAURENS,Upstate,17124 Highway 72 W,,29384,864-393-1020,,864-393-1025,Medium metro
LAKESIDE PEDIATRICS,Lexington,SC,LEXINGTON,Midlands ,109 VISTA OAKS DR,STE C,29072,803-808-0523,,803-358-0615,Medium metro
"Lamar Family Care - Genesis Health Care, Inc.",Lamar,SC,DARLINGTON,Pee Dee ,301 West  Main Street,,29069,(843)395-8400,,(843)395-8401,Small metro
LANCASTER COUNTY HEALTH DEPT.,Lancaster,SC,LANCASTER,Midlands ,1833 PAGELAND HWY,,29720,803-286-9948,,803-286-5418,Large fringe metro
LANCASTER PEDIATRICS,Lancaster,SC,LANCASTER,Midlands ,838 W MEETING ST,Ste B,29720,803-285-2700,,803-285-2707,Large fringe metro
LAURENS COUNTY HEALTH DEPARTMENT,Clinton,SC,LAURENS,Upstate,93 HUMAN SERVICES RD,,29325,864-833-0000,,864-833-6400,Medium metro
Laurens County Memorial Hospital,Clinton,SC,LAURENS,Upstate,22725 HWY 76 E,,29325,864-833-9185,,864-833-9490,Medium metro
LAURENS FAMILY PRACTICE,Laurens,SC,LAURENS,Upstate,106 PARKVIEW DR,,29360,864-984-0571,,864-984-3610,Medium metro
LAURENS FAMILY PRACTICE-GRAY COURT,Gray Court,SC,LAURENS,Upstate,9100 HWY 14 BESIDE EMS BLDG,,29645,864-876-4888,,864-876-4900,Medium metro
LAURENS PEDIATRIC CLINIC,LAURENS,SC,LAURENS,Upstate,915 W MAIN ST,,29360-0000,8649844263,,,Medium metro
LEE COUNTY HEALTH DEPARTMENT,Bishopville,SC,LEE,Pee Dee ,810 BROWN ST,,29010,803-484-6612,,803-484-6314,Non-Core
LEXINGTON COUNTY HEALTH DEPT,Lexington,SC,LEXINGTON,Midlands ,1070 S LAKE DR,Ste B,29073,803-785-6550,,,Medium metro
LEXINGTON PEDIATRIC PRACTICE,Lexington,SC,LEXINGTON,Midlands ,811 W Main St Ste 204,Ste 204,29072,8033598855,,,Medium metro
Lexington Pediatric Practice- West Columbia,West Columbia,SC,LEXINGTON,Midlands ,3240 Sunset Blvd,,29169,803-359-8855,,(803)794-6480,Medium metro
Liberty Doctors LLC Dba Sherry J Viduya MD,North Charleston,SC,CHARLESTON,LowCountry,9275-D Medical Plaza DR,,29406,843-779-6444,,(843)779-6438,Medium metro
LIBERTY FAMILY CARE,Liberty,SC,PICKENS,Upstate,300 W FRONT ST,,29657,864-843-5605,,864-843-0996,Medium metro
LIFE CENTER FAMILY MEDICINE,Summerville,SC,DORCHESTER,LowCountry,679 ORANGEBURG RD,Ste F,29483,843-261-2600,,,Medium metro
Little Mountain Pediatric and Family Practice,Little Mountain,SC,NEWBERRY,Midlands ,99 N MILL ST,,29075,803-945-1005,,,Micropolitan
LITTLE RIVER MED CTR SOUTH STRAND,Myrtle Beach,SC,HORRY,Pee Dee ,3236 HOLMESTOWN RD,,29588,(843)-663-8232,,843-663-8122,Medium metro
LITTLE RIVER MEDICAL,Loris,SC,HORRY,Pee Dee ,3817 MAIN ST,,29569,843-663-6222,,(843)663-8139,Medium metro
LITTLE RIVER MEDICAL CENTER  INC,Myrtle Beach,SC,HORRY,Pee Dee ,4220 Carolina Exchange DR,,29579,843-663-8055,,843-663-8136,Medium metro
LITTLE RIVER MEDICAL CENTER INC,Little River,SC,HORRY,Pee Dee ,4303 LIVE OAK DR,,29566,843-663-8000,,(843)663-8106,Medium metro
LMC LFP WHITE KNOLL,Lexington,SC,LEXINGTON,Midlands ,105 Brevard Pkwy,,29073,803-951-1880,,803-951-0384,Medium metro
LORIS FAMILY HEALTH CENTER,Loris,SC,HORRY,Pee Dee ,3109 CASEY ST STE A,,29569,(843)756-9292,,(843)756-9260,Medium metro
Lovelace Family Medicine  PA,Prosperity,SC,NEWBERRY,Midlands ,600 N Wheeler Ave,,29127,803-364-4852,,(803)364-2014,Micropolitan
Low Country Health Care System  Inc,Fairfax,SC,ALLENDALE,LowCountry,333 Revolutionary TRL,,29827,803-632-2533,,,Non-Core
LOWCOUNTRY PEDIATRICS,Goose Creek,SC,BERKELEY,LowCountry,99 Bridgetown RD,,29445,843-572-3300,,,Medium metro
MACKEY FAMILY PRACTICE,Indian Land,SC,LANCASTER,Midlands ,8351 CHARLOTTE HWY,Ste 200,29707,803-396-5333,,803-283-4329,Large fringe metro
MACKEY FAMILY PRACTICE,Lancaster,SC,LANCASTER,Midlands ,1025 W MEETING ST,Ste 200,29720,803-286-7414,,803-283-4329,Large fringe metro
MAGNOLIA PEDIATRICS,Conway,SC,HORRY,Pee Dee ,600 SINGLETON RIDGE RD,,29526,843-347-9099,,888-972-4460,Medium metro
MANTE PEDIATRICS,Chester,SC,CHESTER,Midlands ,509 BELTLINE RD,,29706,803-385-2075,,,Large fringe metro
MANTE PEDIATRICS LLC,Lancaster,SC,LANCASTER,Midlands ,901 W Meeting St,Suite 203,29720,803-313-3846,,803-313-3847,Large fringe metro
"Mante Pediatrics of Rock Hill, Inc.",Rock Hill,SC,YORK,Midlands ,1626 Cranium DR,Ste 103,29732,803-980-5700,,803-980-5702,Large fringe metro
Margaret J. Weston Community Health,Clearwater,SC,AIKEN,Midlands ,4645 Augusta RD,,29822,803-593-9283,,(803)593-0607,Medium metro
Margaret L Wyatt MD PA,Greenville,SC,GREENVILLE,Upstate,4A Cleveland CT,,29607,8642333935,,,Medium metro
MARION COUNTY HEALTH DEPARTMENT,Mullins,SC,MARION,Pee Dee ,206 AIRPORT CT,STE B,29574,843-423-8295,,843-423-7179,Non-Core
MARION COUNTY MEDICAL CENTER,Mullins,SC,MARION,Pee Dee ,2829 E Hwy 76,,29574,843-431-2029,,843-431-2368,Non-Core
MARLBORO COUNTY HEALTH DEPARTMENT,Bennettsville,SC,MARLBORO,Pee Dee ,711 S. PARSONAGE ST ,,29512,843-479-6801,,843-479-9658,Micropolitan
MARLBORO PARK HOSPITAL- WOMEN'S CTR,BENNETTSVILLE,SC,MARLBORO,,1138 CHERAW HWY,,29512-0000,8434548730,,,Micropolitan
MARTIN PRIMARY HEALTH CARE CENTER,Winnsboro,SC,FAIRFIELD,Midlands ,56 US HWY 321 BYP N,,29180,803-635-6099,,803-635-6343,Medium metro
Mary Black Health System Gaffney,Gaffney,SC,CHEROKEE,Upstate,1530 N LIMESTONE ST,,29340,864-487-1657,,864-487-1650,Micropolitan
MARY BLACK MEMORIAL HOSPITAL,Spartanburg,SC,SPARTANBURG,Upstate,1700 Skylyn DR,,29307,864-573-3891,,864-573-3399,Medium metro
Mary Black Phys.Grp.Fm. Internal Med.West,Spartanburg,SC,SPARTANBURG,Upstate,2995 REIDVILLE RD,STE 260,29301,864-574-2866,,864-574-2646,Medium metro
"Mary Black Physicians Group, LLC",Spartanburg,SC,SPARTANBURG,Upstate,1690 Skylyn DR,Ste 300,29307,864-342-4000,,864-596-7409,Medium metro
MCCORMICK CO HLTH DEPT,McCormick,SC,MCCORMICK,Upstate,204 HWY 28 S,,29835,864-852-2511,,,Non-Core
MCCORMICK FAMILY PRACTICE,McCormick,SC,MCCORMICK,Upstate,1319 S Main ST STE A,,29835,864-852-3336,,,Non-Core
MCG Family Practice,UNION,SC,UNION,Upstate,429 E MAIN ST,,29379,864-427-9045,,,Medium metro
MCLEOD FAMILY MED. MARION CO,MULLINS,SC,MARION,Pee Dee ,3032 E HWY 76,,29574-0000,843-464-7111,,843-292-7324,Non-Core
MCLEOD FAMILY MEDICINE CENTER,Florence,SC,FLORENCE,Pee Dee ,144 N Ravenel ST,,29506,843-777-2800,,843-777-5312,Small metro
McLeod Family Medicine- Kingstree,Kingstree,SC,WILLIAMSBURG,Pee Dee ,512 NELSON BLVD,STE 200,29556,8433555459,,843-355-9704,Non-Core
MCLEOD FAMILY MEDICINE-DARLINGTON,Darlington,SC,DARLINGTON,Pee Dee ,701 CASHUA FERRY RD,,29532,843-777-7240,,843-777-7080,Small metro
MCLEOD FAMILY MEDICINE-JOHNSONVILLE,JOHNSONVILLE,SC,FLORENCE,Pee Dee ,355 S GEORGETOWN HWY,,29555,843-380-2000,,843-380-2014,Small metro
MCLEOD FAMILY PRACTICE-TIMMONSVILLE,Timmonsville,SC,FLORENCE,Pee Dee ,755 E SMITH ST,,29161,843-346-3900,,843-346-7839,Small metro
MCLEOD HEALTH,Florence,SC,FLORENCE,Pee Dee ,555 E CHEVES ST,,29506,843-777-4778,,843-777-5491,Small metro
MCLEOD MEDICAL CTR  DILLON,Dillon,SC,DILLON,Pee Dee ,301 E JACKSON ST,,29536,843-487-1660,,843-487-1393,Non-Core
MCLEOD PEDIATRIC SUBSPECIALIST,FLORENCE,SC,FLORENCE,Pee Dee ,901 E CHEVES ST,Ste 420,29506,8437777313,,,Small metro
MCLEOD PEDIATRICS - DILLON,Dillon,SC,DILLON,Pee Dee ,705 N 8TH AVE,Ste 3A,29536,843-774-6091,,843-841-3814,Non-Core
McLeod Pediatrics Bennettsville,Bennettsville,SC,MARLBORO,Pee Dee ,1076 MARLBORO WAY,STE 3,29512,843-479-0432,,843-479-3036,Micropolitan
